epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5508,2.89051,4.55373,2.3181,0.002,0.23077,0.00146,0.00058,2.52388,4.34183,2.08,0.00018,0.00018,0.00018
2,53.9814,2.73285,3.71286,2.01249,0.00367,0.42308,0.00481,0.00212,2.32552,3.92784,1.84602,0.000378119,0.000378119,0.000378119
3,81.2432,2.48347,3.01356,1.80011,0.00267,0.30769,0.00242,0.00078,2.60508,3.97946,1.96277,0.000574258,0.000574258,0.000574258
4,107.77,2.44478,2.96719,1.79525,0.004,0.46154,0.00353,0.00136,2.361,4.05093,1.74097,0.000768417,0.000768417,0.000768417
5,134.781,2.43049,2.82027,1.77961,0.006,0.69231,0.00788,0.00264,2.29642,3.86347,1.70936,0.000960596,0.000960596,0.000960596
6,161.674,2.33565,2.7466,1.69583,0.0107,0.80769,0.32918,0.10199,2.2411,3.15096,1.59012,0.0011508,0.0011508,0.0011508
7,188.316,2.33786,2.7294,1.72179,0.20252,0.42308,0.31571,0.10649,2.15515,3.06383,1.58556,0.00133901,0.00133901,0.00133901
8,213.988,2.31859,2.57675,1.76824,0.01119,0.38462,0.18671,0.05591,2.19048,3.10757,1.82729,0.00152525,0.00152525,0.00152525
9,239.991,2.29811,2.54903,1.77135,0.74319,0.19231,0.29749,0.11061,2.14538,2.83413,1.75152,0.00170951,0.00170951,0.00170951
10,266.822,2.34748,2.49862,1.81623,0.12362,0.23077,0.1158,0.04239,2.22978,2.81362,1.94272,0.00189179,0.00189179,0.00189179
11,293.953,2.34233,2.40959,1.77228,0.34809,0.30769,0.29494,0.08726,2.62652,2.70172,2.44081,0.001901,0.001901,0.001901
12,320.541,2.26576,2.33589,1.67432,0.18569,0.23077,0.14235,0.04405,3.2221,3.25008,4.07186,0.0018911,0.0018911,0.0018911
13,347.188,2.41885,2.66623,1.83382,0.1564,0.07692,0.03522,0.00865,3.50255,11.1709,6.34756,0.0018812,0.0018812,0.0018812
14,374.032,2.21164,2.35417,1.71484,0.72526,0.38462,0.52394,0.22034,2.15292,2.76089,1.80728,0.0018713,0.0018713,0.0018713
15,400.231,2.19942,2.2139,1.67908,0.63423,0.46154,0.50013,0.20468,2.16479,2.87245,1.75473,0.0018614,0.0018614,0.0018614
16,424.74,2.13096,2.10536,1.64997,0.74665,0.34049,0.45653,0.20181,2.17394,3.15622,1.77211,0.0018515,0.0018515,0.0018515
17,449.136,2.26387,2.37536,1.78753,0.28979,0.30769,0.30305,0.12237,2.19744,3.68805,1.79507,0.0018416,0.0018416,0.0018416
18,475.798,2.2377,2.15074,1.7539,0.56314,0.5,0.42838,0.18413,2.29878,2.45885,1.93691,0.0018317,0.0018317,0.0018317
19,503.134,2.20351,2.15453,1.7319,0.56986,0.46154,0.46897,0.18295,2.34607,2.02806,1.93115,0.0018218,0.0018218,0.0018218
20,530.41,2.16902,1.93894,1.63976,0.56598,0.5,0.4855,0.20817,2.25191,2.04596,1.77595,0.0018119,0.0018119,0.0018119
21,555.802,2.16094,2.05714,1.66647,0.5434,0.5,0.5573,0.22863,2.14912,1.87594,1.73962,0.001802,0.001802,0.001802
22,581.104,2.22144,1.98347,1.68893,0.58047,0.46154,0.47312,0.2033,2.15371,1.91113,1.75413,0.0017921,0.0017921,0.0017921
23,606.406,2.17009,2.11303,1.67156,0.49949,0.42308,0.44267,0.18033,2.23174,2.06983,1.79138,0.0017822,0.0017822,0.0017822
24,631.177,2.11426,2.09609,1.6401,0.51541,0.30769,0.35575,0.1475,2.22837,2.25989,1.76625,0.0017723,0.0017723,0.0017723
25,656.101,2.20881,2.16311,1.71393,0.66381,0.26923,0.33481,0.13962,2.18415,2.39044,1.73825,0.0017624,0.0017624,0.0017624
26,681.363,2.21221,2.11692,1.70381,0.67644,0.38462,0.51617,0.22375,2.01377,1.90342,1.58648,0.0017525,0.0017525,0.0017525
27,707.073,2.15625,1.94761,1.6433,0.41968,0.57692,0.56214,0.21597,2.09612,2.0079,1.64853,0.0017426,0.0017426,0.0017426
28,732.873,2.19323,1.95007,1.67811,0.62824,0.38462,0.5126,0.17638,2.14559,1.97757,1.65278,0.0017327,0.0017327,0.0017327
29,760.392,2.17503,1.98177,1.6416,0.75594,0.46154,0.57167,0.19272,2.17401,1.96924,1.68866,0.0017228,0.0017228,0.0017228
30,786.6,2.06583,1.90383,1.64615,0.67134,0.55032,0.63589,0.20629,2.17518,2.17497,1.74125,0.0017129,0.0017129,0.0017129
31,812.456,1.93946,1.84225,1.54407,0.90946,0.42308,0.58303,0.19218,2.19143,1.8726,1.8091,0.001703,0.001703,0.001703
32,838.573,2.13084,1.81069,1.65105,0.72147,0.5,0.5457,0.23535,2.0768,1.84232,1.73904,0.0016931,0.0016931,0.0016931
33,864.436,2.11144,1.87422,1.64711,0.55453,0.46154,0.47997,0.22238,2.06605,2.02528,1.76715,0.0016832,0.0016832,0.0016832
34,891.284,2.15254,1.88054,1.60693,0.64378,0.34765,0.50666,0.21661,2.06378,1.85271,1.70744,0.0016733,0.0016733,0.0016733
35,919.664,2.02157,1.8319,1.60145,0.47543,0.53846,0.50101,0.18446,2.20137,1.97312,1.78349,0.0016634,0.0016634,0.0016634
36,945.011,2.05145,1.75749,1.6147,0.5257,0.46154,0.52677,0.18477,2.24043,2.03491,1.80489,0.0016535,0.0016535,0.0016535
37,970.485,2.00803,1.86459,1.64227,0.45105,0.65385,0.52702,0.21443,2.10781,1.8642,1.70995,0.0016436,0.0016436,0.0016436
38,1000.69,2.10036,1.76873,1.60893,0.45349,0.5,0.54135,0.27425,2.01935,1.78041,1.64068,0.0016337,0.0016337,0.0016337
39,1026.27,2.05953,1.70435,1.61571,0.59069,0.55544,0.63561,0.24195,2.10425,1.74974,1.64156,0.0016238,0.0016238,0.0016238
40,1051.93,1.97274,1.72404,1.54956,0.58606,0.38462,0.46931,0.17678,2.21821,1.93804,1.71164,0.0016139,0.0016139,0.0016139
41,1077.41,2.02433,1.71803,1.54404,0.35159,0.37565,0.33724,0.11381,2.3953,2.20354,1.83148,0.001604,0.001604,0.001604
42,1103.2,1.97654,1.70082,1.59239,0.48642,0.46154,0.5271,0.18659,2.37379,1.73301,1.8817,0.0015941,0.0015941,0.0015941
43,1128.62,1.97185,1.6528,1.55752,0.58928,0.53846,0.57849,0.2033,2.31485,1.76667,1.83179,0.0015842,0.0015842,0.0015842
44,1154.92,2.05893,1.86075,1.6219,0.4039,0.57341,0.4751,0.17738,2.28042,1.72497,1.80892,0.0015743,0.0015743,0.0015743
45,1181.92,2.00296,1.75833,1.53481,0.58957,0.42308,0.50436,0.18151,2.2798,1.71571,1.82338,0.0015644,0.0015644,0.0015644
46,1209.45,1.91619,1.67892,1.50207,0.94769,0.38462,0.54759,0.21389,2.26865,1.90581,1.83673,0.0015545,0.0015545,0.0015545
47,1235.74,1.97125,1.6726,1.55984,0.76373,0.37362,0.52272,0.23939,2.23273,1.74621,1.81318,0.0015446,0.0015446,0.0015446
48,1261.96,1.92102,1.59137,1.51344,0.62392,0.5,0.51464,0.2301,2.21957,1.9286,1.7756,0.0015347,0.0015347,0.0015347
49,1288.25,1.88198,1.54841,1.53363,0.72496,0.46154,0.54937,0.20508,2.26859,1.78554,1.77661,0.0015248,0.0015248,0.0015248
50,1318.03,2.00445,1.64023,1.62365,0.80793,0.53846,0.5666,0.21028,2.32185,1.75607,1.92779,0.0015149,0.0015149,0.0015149
51,1345.28,1.93549,1.60541,1.54259,0.64918,0.53846,0.56873,0.18236,2.38745,1.72506,1.93407,0.001505,0.001505,0.001505
52,1372.25,1.87763,1.54414,1.45302,0.48622,0.61887,0.56383,0.16942,2.36547,1.73894,1.8919,0.0014951,0.0014951,0.0014951
53,1399.29,1.9701,1.53646,1.53498,0.50622,0.5,0.54401,0.2026,2.15904,1.77719,1.79325,0.0014852,0.0014852,0.0014852
54,1425.15,1.84386,1.56193,1.51742,0.60584,0.59152,0.61855,0.24241,2.06469,1.72612,1.69115,0.0014753,0.0014753,0.0014753
55,1450.69,1.89191,1.507,1.49943,0.45987,0.57692,0.54908,0.19918,2.18691,1.77395,1.74752,0.0014654,0.0014654,0.0014654
56,1476.05,1.90574,1.54549,1.53492,0.48235,0.43031,0.48586,0.20695,2.32267,1.71002,1.86521,0.0014555,0.0014555,0.0014555
57,1502.52,1.91067,1.65797,1.56712,0.49847,0.5,0.47921,0.2065,2.27623,1.76675,1.85311,0.0014456,0.0014456,0.0014456
58,1529,1.79683,1.48421,1.4513,0.79308,0.42308,0.56785,0.23815,2.15141,1.83816,1.74713,0.0014357,0.0014357,0.0014357
59,1555.12,1.89466,1.55213,1.50883,0.85604,0.45768,0.60294,0.2436,2.13332,1.84284,1.73532,0.0014258,0.0014258,0.0014258
60,1580.22,1.82061,1.40942,1.43464,0.61265,0.57692,0.59814,0.24524,2.07446,1.78049,1.6845,0.0014159,0.0014159,0.0014159
61,1606,1.81582,1.43457,1.46188,0.67623,0.46154,0.569,0.22657,2.06664,1.6498,1.69447,0.001406,0.001406,0.001406
62,1631.56,1.78939,1.47747,1.43116,0.3982,0.65385,0.56892,0.20502,2.19129,1.64749,1.79817,0.0013961,0.0013961,0.0013961
63,1656.98,1.93007,1.46937,1.46171,0.60431,0.42308,0.55989,0.20479,2.19557,1.68731,1.79404,0.0013862,0.0013862,0.0013862
64,1682.15,1.8117,1.43465,1.45693,0.50097,0.53846,0.50025,0.2066,2.13215,1.79123,1.7471,0.0013763,0.0013763,0.0013763
65,1706.47,1.76552,1.37537,1.44396,0.48798,0.46154,0.51637,0.19113,2.20263,1.8699,1.77389,0.0013664,0.0013664,0.0013664
66,1730.41,1.77562,1.39325,1.45588,0.78702,0.42659,0.63271,0.24183,2.19724,1.79323,1.7524,0.0013565,0.0013565,0.0013565
67,1754.41,1.74551,1.28058,1.40206,0.79452,0.5,0.63194,0.25628,2.17038,1.73466,1.74381,0.0013466,0.0013466,0.0013466
68,1778.5,1.76037,1.47511,1.43696,0.50812,0.61538,0.62777,0.27609,2.11411,1.67817,1.70448,0.0013367,0.0013367,0.0013367
69,1802.28,1.7279,1.31284,1.38459,0.67748,0.5,0.55645,0.23396,2.115,1.69782,1.7415,0.0013268,0.0013268,0.0013268
70,1826.65,1.69939,1.50753,1.44497,0.69101,0.46154,0.57181,0.23338,2.13585,1.6078,1.76256,0.0013169,0.0013169,0.0013169
71,1851.19,1.69359,1.39144,1.40612,0.79149,0.46154,0.5904,0.21085,2.22292,1.64632,1.7965,0.001307,0.001307,0.001307
72,1875.64,1.69013,1.29156,1.37203,0.56921,0.5594,0.60536,0.21288,2.27739,1.67761,1.87726,0.0012971,0.0012971,0.0012971
73,1900.05,1.77237,1.35988,1.50312,0.64296,0.57692,0.6243,0.22372,2.20089,1.54876,1.85999,0.0012872,0.0012872,0.0012872
74,1924.2,1.87138,1.37889,1.49565,0.79335,0.46154,0.61732,0.2555,2.22184,1.6016,1.78817,0.0012773,0.0012773,0.0012773
75,1948.59,1.80195,1.36085,1.44408,0.7295,0.53846,0.6253,0.2504,2.23246,1.64495,1.75845,0.0012674,0.0012674,0.0012674
76,1973.41,1.79799,1.308,1.41135,0.69191,0.5,0.56975,0.2125,2.3077,1.81396,1.73357,0.0012575,0.0012575,0.0012575
77,1998.61,1.72908,1.37056,1.42071,0.70192,0.45325,0.55145,0.23912,2.15264,1.85763,1.68962,0.0012476,0.0012476,0.0012476
78,2024.27,1.64592,1.27435,1.38314,0.52292,0.46154,0.5209,0.21319,2.07865,1.81639,1.72593,0.0012377,0.0012377,0.0012377
79,2049.74,1.63801,1.34668,1.35554,0.74239,0.5,0.54261,0.21745,2.10766,1.81209,1.71865,0.0012278,0.0012278,0.0012278
80,2075.33,1.617,1.32098,1.41742,0.74737,0.5,0.57324,0.21813,2.21182,1.76842,1.74522,0.0012179,0.0012179,0.0012179
81,2100.75,1.58386,1.18138,1.33653,0.71632,0.5,0.55161,0.22629,2.21405,1.70231,1.75513,0.001208,0.001208,0.001208
82,2125.96,1.67076,1.26537,1.34618,0.6643,0.57692,0.61222,0.27351,2.083,1.49167,1.68597,0.0011981,0.0011981,0.0011981
83,2151.78,1.61671,1.20129,1.35728,0.72798,0.46154,0.55365,0.24687,2.1739,1.63678,1.74201,0.0011882,0.0011882,0.0011882
84,2177.19,1.70803,1.23109,1.39853,0.63824,0.47544,0.55301,0.23495,2.2357,1.78793,1.82143,0.0011783,0.0011783,0.0011783
85,2202.4,1.60848,1.22031,1.33985,0.58638,0.5,0.52967,0.21908,2.30182,1.82409,1.88221,0.0011684,0.0011684,0.0011684
86,2227.68,1.62899,1.19279,1.37477,0.63633,0.5,0.51842,0.2401,2.12345,1.78118,1.77274,0.0011585,0.0011585,0.0011585
87,2253.13,1.58395,1.1576,1.36179,0.42844,0.61538,0.50738,0.2319,2.11662,1.82851,1.77043,0.0011486,0.0011486,0.0011486
88,2278.26,1.62482,1.19762,1.34742,0.47531,0.5,0.49594,0.22762,2.17147,1.8921,1.80469,0.0011387,0.0011387,0.0011387
89,2301.34,1.56229,1.1077,1.28945,0.49849,0.57692,0.52598,0.20658,2.25448,1.90725,1.86884,0.0011288,0.0011288,0.0011288
90,2324.82,1.57679,1.16695,1.37224,0.69474,0.34615,0.47646,0.19545,2.28866,1.72132,1.91603,0.0011189,0.0011189,0.0011189
91,2348.14,1.57053,1.10929,1.32158,0.52794,0.43042,0.52151,0.21951,2.25481,1.68773,1.84624,0.001109,0.001109,0.001109
92,2371.15,1.648,1.17703,1.37073,0.6242,0.42308,0.52103,0.21886,2.26018,1.70964,1.84469,0.0010991,0.0010991,0.0010991
93,2394.26,1.55622,1.15006,1.32099,0.66118,0.45078,0.55128,0.21992,2.28703,1.6572,1.87794,0.0010892,0.0010892,0.0010892
94,2417.72,1.57489,1.10944,1.28004,0.62608,0.53846,0.57863,0.19543,2.43586,1.6585,1.9886,0.0010793,0.0010793,0.0010793
95,2440.85,1.63309,1.22162,1.37151,0.67546,0.53846,0.58938,0.20289,2.35063,1.69488,1.94985,0.0010694,0.0010694,0.0010694
96,2463.65,1.6552,1.1349,1.34645,0.55844,0.5,0.55754,0.22166,2.31292,1.81067,1.92336,0.0010595,0.0010595,0.0010595
97,2486.97,1.57622,1.10999,1.32612,0.47006,0.5,0.51157,0.22137,2.26963,1.74606,1.87865,0.0010496,0.0010496,0.0010496
98,2510.19,1.60881,1.15912,1.37977,0.57511,0.46154,0.56274,0.21123,2.34058,1.65753,1.9232,0.0010397,0.0010397,0.0010397
99,2535.34,1.49714,1.08427,1.28234,0.44696,0.55981,0.53529,0.20257,2.3371,1.68701,1.92328,0.0010298,0.0010298,0.0010298
100,2560.29,1.50761,1.09036,1.28433,0.65123,0.46154,0.5342,0.21538,2.38191,1.65004,1.98066,0.0010199,0.0010199,0.0010199
101,2585.2,1.48676,1.12048,1.30456,0.60477,0.53846,0.53861,0.20483,2.41662,1.7034,2.02646,0.00101,0.00101,0.00101
